x	y	feature
4079.4836	2926.771	Ebf3
4087.1384	3125.5388	Ano1
4088.5784	2941.8901	Ebf3
4089.754	3124.9768	Ano1
4097.622	3258.0366	Ebf3
4131.1094	3466.6694	Ano1
4134.1816	3517.358	Ano1
4134.8677	2915.5652	Ebf3
4149.759	3002.4011	Ebf3
4151.863	3105.4502	Ebf3
4152.1187	3185.697	Ebf3
4156.814	3101.4116	Ebf3
4165.9214	3163.2454	Ano1
4171.303	3379.879	Ebf3
4170.5347	2664.6323	Ano1
4178.467	3358.9172	Ebf3
4204.1455	3434.446	Ebf3
4226.427	3394.6055	Ebf3
4237.301	2782.8286	Ebf3
3659.7742	2928.4988	Trp73
3665.1504	2934.895	Trp73
3682.6257	2900.285	Trp73
3684.4	2889.6516	Trp73
3730.3535	2858.2593	Trp73
3743.9238	3234.9768	Trp73
3757.9456	2901.8696	Trp73
3790.4062	2817.707	Trp73
3806.416	3148.676	Trp73
3882.5227	2777.7634	Trp73
3884.8179	2863.398	Trp73
3914.5095	2945.3674	Trp73
3916.2935	2949.8462	Trp73
3929.3242	2751.6094	Trp73
3986.093	3035.5427	Trp73
4007.834	2670.2307	Trp73
4025.141	3078.7314	Trp73
4032.6562	3112.275	Trp73
4034.0996	3073.5776	Trp73
4062.9868	3284.2031	Trp73
4072.6946	3398.4211	Trp73
4151.336	3100.0227	Trp73
4195.6973	2961.0244	Trp73
3622.1265	2838.561	Trp73
3654.469	2867.7427	Trp73
3664.5872	2856.4136	Trp73
3668.0664	2979.667	Trp73
3685.5015	2782.109	Trp73
3690.6138	2785.821	Trp73
3759.3813	3466.6602	Trp73
3914.544	2950.2468	Trp73
3923.8984	3061.7634	Trp73
3928.3083	2735.679	Trp73
3941.946	2797.545	Trp73
3958.205	2742.2722	Trp73
3961.104	3108.1487	Trp73
4001.0059	3110.6045	Trp73
4032.5378	2721.9353	Trp73
4149.79	3104.5315	Trp73
4152.0967	3104.963	Trp73
4155.888	3104.3457	Trp73
4165.991	2797.5605	Trp73
4191.3647	2998.5425	Trp73
4204.1943	2856.2327	Trp73
3683.103	3480.2056	Nts
3702.974	2665.9878	Nts
3731.9614	3107.2075	Nts
3893.2551	2802.9895	Nts
3901.0886	2685.5535	Nts
3943.0325	3160.368	Nts
4203.002	3426.8032	Nts
4237.673	3190.0107	Nts
3300.5364	793.62317	Chat
3407.4863	857.77814	Ano1
3319.9746	760.54315	Ebf3
3379.791	867.4428	Ebf3
3382.089	866.6078	Ebf3
3382.5918	864.9406	Ebf3
3260.7317	862.2533	Nts
3436.063	849.1662	Nts
3136.1902	684.64	Nts
3539.735	809.474	Nts
3472.037	597.3059	Spag16
3257.205	777.36847	Ano1
3412.3132	867.3458	Ano1
3409.0513	858.56714	Ano1
3249.671	775.40594	Ano1
